#,Paper_ID,R1_Rec,R1_Length,R1_Conf,R2_Rec,R2_Length,R2_Conf,R3_Rec,R3_Length,R3_Conf,MR_Length,Decision
290,ryOG3fWCW,6,145,3,4,438,4,3,451,4,57,Reject
291,SyqShMZRb,3,88,2,5,303,1,7,371,3,76,Accept (Poster)
292,HyzbhfWRW,5,619,4,6,241,4,6,227,4,45,Accept (Poster)
293,S1sRrN-CW,3,213,4,5,268,4,3,530,4,177,Reject
294,HyFaiGbCW,4,213,3,4,243,5,4,831,4,117,Reject
295,SyfiiMZA-,9,585,5,4,153,4,5,504,3,96,Invite to Workshop Track
296,Sk7KsfW0-,7,290,3,6,240,3,8,174,2,96,Accept (Poster)
297,SySisz-CW,2,359,4,7,91,3,7,195,2,77,Reject
298,B16_iGWCW,2,382,5,6,108,3,5,197,4,63,Reject
299,Sy-tszZRZ,6,193,5,4,369,5,6,203,3,76,Reject
300,SyyGPP0TZ,7,211,4,7,188,4,7,493,5,48,Accept (Poster)
301,SyVOjfbRb,8,154,4,4,298,5,4,381,5,69,Invite to Workshop Track
302,SkaPsfZ0W,5,93,2,5,563,4,6,410,5,115,Reject
303,By-IifZRW,5,429,4,4,674,5,7,171,2,176,Reject
304,S1gWUifW0b,6,95,4,4,212,3,5,168,5,116,Reject
305,rJBwoM-Cb,3,696,4,7,223,4,2,258,5,105,Reject
306,SkHDoG-Cb,6,219,3,6,918,4,3,388,4,125,Accept (Poster)
307,ryzm6BATZ,5,136,3,5,303,3,6,272,3,67,Reject
308,SyProzZAW,7,268,4,6,289,4,6,244,4,111,Accept (Poster)
309,r1O0xvz-z,4,689,5,5,225,4,5,194,3,,
310,By4HsfWAZ,7,277,3,7,234,3,6,239,2,48,Accept (Poster)
311,SJQHjzZ0-,7,381,5,4,455,3,7,234,4,69,Accept (Poster)
312,H1l8sz-AW,6,403,3,5,390,4,4,280,3,91,Reject
313,S1xDcSR6W,4,1001,3,7,295,2,5,194,3,18,Reject
314,S1cZsf-RW,6,256,4,6,178,2,5,295,4,123,Accept (Poster)
315,H13WofbAb,4,464,5,3,211,4,4,173,5,74,Reject
316,H1LAqMbRW,5,427,4,4,485,5,4,492,3,108,Reject
317,HJYoqzbC-,5,355,5,6,551,3,3,214,4,106,Reject
318,SJTB5GZCb,4,1067,4,3,201,4,6,103,2,45,Invite to Workshop Track
319,BJDH5M-AW,5,276,4,6,558,4,8,284,3,119,Reject
320,r1CE9GWR-,4,999,4,4,582,5,5,339,4,18,Reject
321,ryj0790hb,6,484,4,4,190,4,5,380,4,81,Reject
322,BJhxcGZCW,4,215,3,4,278,4,2,280,5,37,Reject
323,HyY0Ff-AZ,5,178,5,2,215,5,5,123,4,15,Reject
324,BJQRKzbA-,6,637,3,6,347,4,8,651,4,82,Accept (Poster)
325,HkepKG-Rb,7,911,3,5,403,3,4,298,4,260,Reject
326,rJTutzbA-,7,337,4,7,72,3,8,132,5,66,Accept (Oral)
327,Hy-lXyDWG,4,211,4,2,213,5,4,489,5,,
328,HkTEFfZRb,7,746,3,7,280,4,6,172,5,71,Accept (Poster)
329,rkcQFMZRb,7,441,4,7,1373,5,7,216,5,81,Accept (Poster)
330,S17mtzbRb,5,410,5,5,583,4,4,449,4,71,Reject
331,rkpqdGDeM,6,147,4,,,,,,,,
332,S1pWFzbAW,6,375,4,6,421,4,4,759,4,86,Invite to Workshop Track
333,SkA-IE06W,6,598,3,9,280,4,8,263,3,21,Accept (Poster)
334,H15RufWAW,6,482,4,7,255,4,4,622,5,84,Reject
335,BkisuzWRW,8,416,4,8,642,3,7,475,5,79,Accept (Oral)
336,H135uzZ0-,7,165,4,7,122,3,6,63,3,121,Accept (Poster)
337,Hk3ddfWRW,6,305,4,4,545,3,6,180,4,147,Accept (Poster)
